ts	phase	decision	why	evidence	result
2026-09-01T17:11:31Z	core	core: classify/policy/state/cli, 31 tests green	single zero-dep source of truth; harness caps one-under native limits	bun test 31 pass	tests green
2026-09-01T17:13:05Z	adapter	claude+zcode adapter: shared hooks/hooks.json, inline StopFailure in claude manifest, zcode+cclaude+zcode+cclaude manifests + 2 marketplace files	zcode manifest probe includes claude+codex paths; StopFailure lives claude-only since zcode lacks the event	hook sim: rate_limit classified, reset-clock parsed to 4576s	sim green
2026-09-01T17:17:04Z	zcode	materialized directory-marketplace install (same records GUI writes), backups *.bak-ac	no CLI marketplace-add exists; local-directory source is a documented user path	zcode plugins list: enabled, hooks: 1	install green
2026-09-01T17:21:56Z	zcode	live fire in desktop app: hook ran on real session Stop, harness=zcode after ZCODE_SESSION_ID detection fix	first fire misdetected harness (both env namespaces set in compat mode); payload+env key logging revealed the discriminator	log.jsonl sess_d17062ab zcode/stop/other/ignore	live green
2026-09-01T17:31:26Z	opencode	v1 adapter: session.error arms, session.idle re-prompts via client.session.prompt; vendored core for npm	plugins cannot ship skills but CAN ship behavior; resume path proven by fixture tests	bun test 36 pass	tests green
2026-09-01T17:46:58Z	codex	marketplace add + plugin add green; quota-turn Stop provably absent in 0.152.0 (3 probes); normal-turn live fire blocked: ChatGPT auth quota + no API key for local provider	user quota resets Sep 2 1:03am; hooks file sits in codex plugin cache ready	codex plugin list: installed, enabled 0.1.0	partial, pending reset
2026-09-01T17:46:58Z	codex-cleanup	removed probe hooks.json from /tmp/ac-codex-test not needed; plugin stays installed for post-reset verify	probe artifacts must not leak into user repos	tmp only	cleaned
2026-09-01T18:04:03Z	cursor	hooks engine + format live-verified via project .cursor/hooks.json stop fire in TUI; plugin-level local discovery silent in 2026.07.23 build	marketplace submission is the real public channel; user-level hooks.json documented as today-path	tmux TUI marker: sessionstart/submitprompt/stop	partial, format proven
2026-09-01T18:04:03Z	release	39/39 tests green; publishing repo + npm next	all units verified to the extent harnesses allow on this machine today	bun test	green
2026-09-01T18:06:04Z	claude	reinstalled from public repo over network: marketplace add owner/repo + install, hooks(2) registered	README commands must work for anyone, not just local paths	claude plugin details output	green
2026-09-01T18:06:04Z	codex	reinstalled from public git marketplace; same	same	codex plugin list installed,enabled	green
2026-09-01T18:06:04Z	correction	earlier zcode row had typo cclaude; superseded by this row	append-only trail	decisions.tsv	corrected
2026-09-01T18:06:04Z	release	published https://github.com/Dhruv2mars/auto-continue (public, main); npm publish blocked: expired npm token (401), needs npm login	gh authed; npm auth is user-interactive	gh repo view PUBLIC	repo green, npm pending
2026-09-01T18:06:40Z	core	classify now concatenates text sources before classification	reset-clock inside error.message was ignored when last_assistant_message existed; delay fell back to 45s instead of parsing the window	commit 998f9b5, live-sim row delaySec 7200	fixed
2026-09-01T18:06:40Z	claude	live quota-fire test blocked: claude CLI OAuth session expired, needs interactive re-login	auth refresh requires browser; not automatable from here	claude -p output: Failed to authenticate	open, pending user login
2026-09-01T18:21:00Z	hardening	review wave: positional-arg resume (injection closed), watcher dedupe 2min, daily ceiling 20, healthy-stop reset, NaN-safe env, 0700 perms, codex/opencode caps to 2, stdout flush	cross-review flagged 16 issues; 7 code fixes + README truth-pass	tests/hardening.test.mjs incl. injection probe, 44 pass	green
2026-09-01T18:21:00Z	review	cross-model review ran on same-family GLM (no other model configured in session); flags and dispositions in this trail + final reply	cross-model requirement limited by session setup	reviewer agent report	noted
round2-fix1	commit:0533eec	coerce string statusCode via Number(); isRetryable->overloaded; bare quota/capacity nouns dropped from regexes	3 repro tests red->green; full suite 97 green
round2-fix2	commit:57f4c97	opencode timer callback claims sending slot before pending.delete+sendResume	new race test red->green; judge's 10/10 sends=2 scenario closed
round2-probe	commit:04854fb	probe-before-send re-arm loop; probe.mjs exit-code contract; probe off unless PROBE_CMD_<H> set or PROBE=1; backoff env-tunable	manual sims: give-up keeps queue, dead->alive delivers; 100 tests green
r2-fix3	commit:c969a88	drain-settle.mjs owns delivery: begin marker before resume, ack/restore after; healthy-stop defers ack while marker fresh; resume in subshell	round2-loss e2e green (bun test poll bug was the holdup — readDraining not awaited); 104 green
r2-fix4-5	commit:42f94b7	give-up releases arm via drain-settle giveup: watcherArmedAt=0, continues-1 floored at 0, daily bump refunded	give-up e2e green: next limit re-arms, status shows armed:false dailyResumes:0; 105 green
r2-fix7	commit:e59c886	drain.mjs restores pending .draining head before draining (FIFO); canned prompt only on genuinely empty	drain-fifo regression green; 106 green
r2-fix12	commit:a620263	cap/dedupe-blocked enqueue stores no prompt (hard gates before write); soft gates still queue	blocked-enqueue regressions green; 106 green
r2-fix10-11	commit:2f53fdc	shared detectHarness (zcode/codex env markers) in queue CLI; non-claude without RESUME_CMD_<H> refuses to arm; give_up prints stderr reason	4 zcode e2e regressions green (stub claude untouched); 110 green
r2-fix8	commit:c76256a	waitFor polls file content not existence (open(O_CREAT) race flake 1-in-9)	8x watcher-defects runs 0 fail
r2-fix13	commit:6ba5c84	classifier two tiers: strong event idioms alone; weak tokens (rate limit/429/usage cap) need LIMIT_CONTEXT corroboration	12-case matrix green incl. finding-13 repros; 111 green
r3-verify	wf_c9d794bd-23b	round-3 hostile re-verify of fixes (settle-protocol, harness-detect, classifier-tiers, opencode-race3) launched	running in background
r3-fix-marker	commit:7c5e7b2	settling marker gates resume_later restore + both arm paths; stale marker restores head instead of dropping (hook never drops, only drain-settle does)	4 e2e regressions green incl. both judge repros; 115 green
r3-fix-vendor	commit:775058b	re-sync vendored opencode core (was pre-round-2) + drift-guard test failing with 'run sync-opencode'	guard green; vendored byte-identical
r3-fix-classify	commit:dc90290	bare 'you' not corroboration (possessive/imperative only); 'retry after Ns' parses without 'again'	13-case matrix green; 118 green
r3-fix-ocreset	commit:4fdad2a	opencode disarmDisk resets continues on successful resume (healthy-turn reset parity)	10 opencode tests green; 119 green
r4-fix-ownership	commit:b460c35	withQueueLock around queue mutators; drainIfUnowned claims .settling under lock (exit 3 = stand down); marker carries prompt fingerprint, settle drops matched head (stale-restore+success converges)	round4-ownership 3 e2e green (12/12 concurrent enqueues, refusal exit 3, converge, mismatch kept); 123 green
r4-fix-flakes	commit:049a004	queue-cli waits marker clear; round3 m4 waits settled outcome	2 judge-flagged flakes closed
r5-fix-protocol	commit:75aaaa5	identity-based convergence (.restored receipt), begin-file byte-exact fp, canned path no marker, giveup arm token, pid-liveness lock steal, locked clear	round5-lock 4 green; round4/round3/round2 e2e suites green; 127 green
r6-fix-ownership	commit:5644bf9	locked restoreDraining (+unlocked variant); ONE armedAt shared with watcher token; settle success/fail token-scoped (foreign settle no-ops); settle-fail releases arm; honest not-resumed/clear-busy messages	round5-lock settle-ownership regression green; full real-chain suites green; 128 green
